zone_id,center_lat,center_lon
0,10.50443333,107.1808557
2,10.80629615,106.6267488
3,10.80836741,106.6193861
6,10.75848507,106.6051357
9,10.88288288,106.7670348
10,20.81949029,106.6615367
12,10.37118184,105.4360723
13,10.75147669,106.6005108
14,10.75675676,106.5937439
15,10.83818585,106.6795753
17,10.73611283,106.6721203
18,21.04321899,105.7752882
19,20.99616474,105.8367265
20,10.35306254,106.3593327
21,10.03950668,105.766445
22,10.81276007,106.6232343
25,10.36498698,105.4296675
26,10.64805795,107.1281161
32,10.04596958,105.7763212
33,10.75927985,106.6060743
35,10.73541454,106.6674747
36,10.73873874,106.6057205
38,10.75121647,106.6105828
41,10.75225949,106.600259
44,11.01449763,106.6762759
46,10.79405387,106.5047642
47,10.048155,105.7753086
48,12.25008033,109.190687
49,10.84684685,106.6073807
52,10.40870888,106.1218428
53,10.9505214,107.0039391
54,10.74264126,106.6099824
55,10.75628679,106.5917017
56,10.88111239,106.7685151
57,20.87037254,106.7018868
60,10.25161491,105.9567399
62,10.88473389,106.7596423
63,10.49527131,
66,10.90996691,106.7454218
67,10.24370454,105.9740499
68,12.24107325,109.1845056
70,10.77121266,106.6165224
71,10.45744902,105.635013
72,21.28149832,106.2001927
73,10.76905937,106.6033967
74,10.36461645,105.3856347
76,21.2513496,106.137309
77,10.98274459,106.7272602
82,10.91891892,106.7432674
87,10.03881036,105.7670157
88,10.75675676,106.6120842
89,13.77591247,109.2247413
90,11.09306741,106.2672181
91,10.46097074,105.6260899
92,10.02413118,105.7687608
93,10.78696248,106.6443261
96,10.48024705,106.3652294
97,10.94890573,106.8327043
98,10.90594901,106.6394388
100,10.99099099,106.6591327
101,10.75442515,106.6073384
106,20.97657806,105.8442389
107,10.9389592,106.5408616
109,10.87508328,106.7659569
110,9.593139897,105.9819631
111,10.60070947,106.6651438
112,9.969081282,105.1052527
114,15.92877818,108.256423
116,10.79188591,106.6282954
119,10.74914692,106.6994644
120,11.04504505,106.752159
121,10.95605285,106.8133295
122,21.00935665,105.7941363
123,21.42105743,105.8966557
124,10.83394406,106.6827925
125,20.95984131,105.7720801
128,10.78672325,106.635647
129,10.90180713,106.4181687
133,10.84684685,106.6257265
135,10.99008257,106.6660599
136,10.37837838,105.4367065
138,10.39127057,106.1844169
141,13.76877359,109.2227719
143,10.97491246,106.8510563
147,11.07953502,106.6634571
150,10.36036036,105.4489562
151,21.09146505,105.785457
152,10.31088191,106.3423829
153,10.73720976,106.7306529
154,16.0714796,108.2225103
159,10.36036036,105.4306396
160,10.9009009,106.4248625
161,10.84059055,107.8626402
162,13.75591526,109.208935
164,21.01857041,105.7948755
166,10.35145136,105.3162631
